route,direction,hl_size,alpha,lr_init,MAE_cv
66_18,2,"(130,)",0.8,0.06,298.4633426
70_60,1,"(110,)",0.8,0.05,467.217445
66_17,1,"(100,)",0.4,0.06,343.5982862
38A_32,2,"(140,)",0.6,0.05,529.036932
33B_56,1,"(130,)",0.6,0.04,154.77572
70_67,2,"(120,)",0.7,0.06,436.0492595
7_70,2,"(130,)",0.8,0.04,472.4313408
65B_65,1,"(140,)",0.7,0.05,352.324672
33B_58,2,"(120,)",0.7,0.03,283.1642038
7A_87,2,"(140,)",0.8,0.06,399.1464831
65B_66,2,"(140,)",0.5,0.07,647.5586068
45A_60,1,"(120,)",0.8,0.06,252.8088775
44_36,2,"(140,)",0.8,0.05,410.1988786
270_44,2,"(140,)",0.6,0.04,210.3952283
270_42,1,"(130,)",0.8,0.03,203.0764181
63_26,1,"(80,)",0.6,0.06,330.2852271
25_269,2,"(140,)",0.6,0.05,248.7625399
44_40,1,"(120,)",0.8,0.07,396.600492
61_108,2,"(140,)",0.4,0.05,240.0946019
47_139,1,"(80,)",0.5,0.07,337.4475101
45A_64,2,"(110,)",0.7,0.07,313.8977199
63_30,2,"(120,)",0.5,0.04,279.0847422
61_106,1,"(130,)",0.7,0.05,268.6154873
47_136,2,"(80,)",0.5,0.07,339.197118
56A_31,1,"(130,)",0.4,0.05,287.3261041
25_272,1,"(80,)",0.5,0.06,307.3394312
56A_30,2,"(100,)",0.5,0.06,289.9623723
114_6,2,"(100,)",0.6,0.05,201.1089363
114_5,1,"(110,)",0.7,0.07,199.518817
26_29,2,"(140,)",0.8,0.05,212.850104
26_28,1,"(110,)",0.8,0.05,218.8453669
238_11,1,"(140,)",0.4,0.04,155.8902853
238_15,2,"(120,)",0.4,0.04,153.4810932
84_30,2,"(130,)",0.6,0.06,320.9239115
33_44,1,"(120,)",0.5,0.07,442.6599065
59_11,2,"(140,)",0.4,0.03,132.6415776
59_10,1,"(110,)",0.5,0.03,124.0230699
84_27,1,"(140,)",0.8,0.06,320.7694647
33_70,2,"(130,)",0.7,0.07,384.5271499
53_21,2,"(120,)",0.4,0.05,132.9473981
111_7,1,"(130,)",0.4,0.07,230.6599072
83A_23,2,"(130,)",0.7,0.07,425.9976106
83A_17,1,"(140,)",0.6,0.06,386.9178296
104_16,2,"(80,)",0.8,0.06,230.6496175
104_15,1,"(100,)",0.5,0.05,249.1180131
185_56,2,"(140,)",0.5,0.04,101.9177903
69_47,2,"(130,)",0.4,0.06,298.7715725
239_28,2,"(90,)",0.7,0.07,424.9991126
53_20,1,"(100,)",0.6,0.04,199.5272647
68_83,2,"(80,)",0.6,0.07,285.1984824
66A_37,1,"(100,)",0.7,0.07,322.8765502
239_26,1,"(140,)",0.5,0.05,356.8711596
66A_38,2,"(120,)",0.8,0.04,263.6618919
66B_59,2,"(140,)",0.4,0.06,261.0935373
66B_58,1,"(140,)",0.5,0.06,447.4442302
69_45,1,"(100,)",0.5,0.07,273.8006398
68_81,1,"(80,)",0.4,0.07,356.914528
31A_26,2,"(120,)",0.7,0.07,262.3189455
31A_25,1,"(140,)",0.4,0.06,303.2703481
220_12,2,"(120,)",0.6,0.06,319.0401718
111_8,2,"(100,)",0.7,0.07,427.4162657
65_77,2,"(120,)",0.4,0.07,701.0838385
220_10,1,"(130,)",0.5,0.07,352.7184233
65_74,1,"(130,)",0.8,0.07,326.1689902
185_53,1,"(120,)",0.7,0.05,130.9011914
40B_65,2,"(90,)",0.7,0.07,249.8601616
33A_22,1,"(110,)",0.5,0.07,258.0102385
33A_25,2,"(140,)",0.8,0.06,237.2060085
40B_63,1,"(140,)",0.7,0.05,268.7339274
84A_3,2,"(60,)",0.5,0.07,224.0028794
38B_44,2,"(140,)",0.8,0.07,596.204506
84A_1,1,"(80,)",0.4,0.07,322.1390804
41B_52,1,"(110,)",0.8,0.06,326.2625425
41B_53,2,"(90,)",0.7,0.06,330.7205087
7B_93,2,"(120,)",0.5,0.04,589.6833351
38B_40,1,"(120,)",0.6,0.07,458.6405602
44B_60,1,"(80,)",0.4,0.07,169.7526287
84X_57,1,"(110,)",0.6,0.07,677.4796157
84X_62,2,"(80,)",0.4,0.06,381.2242838
