model_type,data,route,MAE_test,MSE_test,RMSE_test,MAPE_test,R2_test,5_fold_cv_MAE,MAE_actual_vs_planned,MAPE_actual_vs_planned
RFR,test,102_8,282.44553397888524,134974.87058487404,367.389263023396,0.0800373622403029,0.4530067930878357,278.1890331124247,338.4297994269341,0.0928648489494475
RFR,test,102_9,279.26531184398164,126353.38889056176,355.46221865419363,0.0832164299644114,0.4956855239646857,268.1134947168392,332.4337260677467,0.0956726282055351
RFR,test,104_15,250.24391659063264,115162.1289765418,339.3554610972716,0.1041924233090291,0.262981163032972,239.65516359703489,257.4023722627737,0.1041777083557511
RFR,test,104_16,221.0624742268041,81969.20693158387,286.30264918715625,0.0964501551411338,0.3095336561401514,225.00749967208716,258.65042174320524,0.1073167562399705
RFR,test,111_7,213.44046102263204,87711.1795626991,296.1607326481671,0.0824923090001187,0.6333343767287491,215.95896855345916,303.7770326906957,0.1157163882858969
RFR,test,111_8,411.3927430555555,249169.90600011573,499.169215797725,0.1444552809579479,0.0093414473109356,408.9793338345411,607.0416666666666,0.1823743269158178
RFR,test,114_5,199.2481660606362,68914.27531954306,262.5152858778762,0.1078794909392423,0.4909131554457451,194.86484100999536,253.20571827057185,0.1302596556146696
RFR,test,114_6,205.88761627478783,76183.59314905,276.013755362029,0.1174016017904929,0.4766765696446978,203.55237660381016,249.1945983379501,0.1328418718987667
RFR,test,116_1,349.3088571428571,192786.09814,439.0741374073404,0.107026190447517,0.4312733116454262,423.599554347826,527.8857142857142,0.1621732512667904
RFR,test,116_3,485.3642424242424,400632.1063939393,632.9550587474116,0.0876733336617313,0.3831932355337766,627.2818354978356,798.8787878787879,0.1385465170716345
RFR,test,118_4,327.1789105534105,187122.59880707748,432.5766970227101,0.0839556045997693,0.2028613894445268,328.1017050833333,395.8378378378378,0.0961965954385582
RFR,test,11_40,582.7951401826326,768595.2627528714,876.6956500136586,0.1190015798883868,0.3501862583053979,520.6428997488704,1606.6205737916775,0.2834790104027563
RFR,test,11_42,387.74655070540695,265271.22353971424,515.044875267888,0.0911030795158821,0.5989605044447806,387.05899876471807,489.9555388093444,0.1088967514806667
RFR,test,120_7,171.2551243440906,47517.98536696534,217.98620453360195,0.1058171465289483,0.3879804011771401,162.03113023434958,189.90534979423867,0.1107287182101197
RFR,test,120_9,149.94083957709717,36783.64269472313,191.7906220197513,0.101969875722982,0.3692905006426507,140.07565230833796,176.12800218340612,0.1133492388422763
RFR,test,122_18,334.6184685007202,178723.10645194474,422.7565569591378,0.0835710164235923,0.4422673028100159,328.82738671339337,459.366285119667,0.1095159908373746
RFR,test,122_20,347.62233756776186,189810.23008681065,435.6721589530488,0.0843973232365129,0.454621515431528,334.65892385717416,485.7880841955048,0.1116819026368585
RFR,test,123_34,348.5707297923484,198136.2286883462,445.1249585097944,0.0998068609885655,0.4748481961730638,347.5579687036892,377.41162431559735,0.1033991209910987
RFR,test,123_36,339.2917890890724,188890.9205953233,434.61583104544553,0.0956560706960717,0.4729107056455029,342.60436629445013,398.7688993885492,0.1068072375700553
RFR,test,130_10,154.63473556740914,38375.4075170392,195.8964203783193,0.086396119871793,0.4802430521786035,150.20103756351426,204.47114895780376,0.1075621956788545
RFR,test,130_11,206.2284255011752,68588.8440886196,261.8947194744858,0.111921414966704,0.3667737931278502,197.5127766039201,227.7012811037201,0.1167906626074279
RFR,test,13_60,458.774537661109,358712.9997481243,598.9265395256118,0.0729706091353882,0.3910044457044287,443.85364258635,560.9090909090909,0.0857444598157573
RFR,test,13_67,466.36721477885857,371423.142578924,609.4449463068211,0.0763393346373106,0.4180315095949773,452.64571586658366,556.3790706183681,0.0877185117622274
RFR,test,140_19,291.59698910880684,136766.1700398508,369.8191044819762,0.0827927420336705,0.4692687770163143,294.58922882685727,349.70190078813164,0.0952233407905875
RFR,test,140_21,494.2410208409625,406695.02903643326,637.7264531414964,0.1280122918254047,0.1560082391732484,476.8822941365106,567.9416850313612,0.1350494719958758
RFR,test,142_12,322.6796001877453,162702.70347916766,403.36423177962575,0.0558929986234338,0.1829272498426217,336.5144292882745,474.6953405017921,0.0799783992356262
RFR,test,142_13,286.7489631609356,137056.02056402058,370.2107785627271,0.0491272836978433,0.4079941853193531,318.1254538615965,595.8617886178862,0.0981173674714098
RFR,test,145_102,396.199043769424,254521.3151679104,504.5010556658037,0.0792289890119635,0.5660022908131908,402.53067322844106,505.2747214884576,0.09660186825021
RFR,test,145_105,508.7403518503517,421009.0623789493,648.8521113311949,0.0981906041453161,0.4857312005093673,499.59810561987433,723.3649169275222,0.128921093176851
RFR,test,14C_17,128.91184953703703,26424.08504370023,162.55486779453955,0.1214557966011752,-0.1368519628809801,118.93162839834515,148.44444444444446,0.1357166488192538
RFR,test,14C_18,149.1821744897959,35677.430449122185,188.8847014692354,0.0694777149838847,0.6343066862275883,170.126119383102,278.5542857142857,0.1195133581894465
RFR,test,14_15,417.14224070869824,288231.3484791914,536.871817549768,0.0873796031541233,0.5313892800570885,413.11918635177824,476.3400586940572,0.0958702799066721
RFR,test,14_16,400.5714799097826,267682.01648262754,517.3799536922817,0.0838048146932846,0.5284633583277702,396.7034950465314,465.6855728968405,0.0937724292165978
RFR,test,150_8,237.323685413598,96031.58680570973,309.8896364929129,0.1017458560213032,0.4054757618126331,229.3971860276503,278.84180543383,0.1120396771907922
RFR,test,150_9,247.2880836043356,98934.03408131888,314.53781025708,0.1046037348740485,0.3997397218864689,238.6720477845983,366.6985867446394,0.1445494465651914
RFR,test,151_15,323.97953756441046,175555.38632521298,418.9933010505216,0.0810077592726284,0.494083846275019,321.42659567918025,397.9585062240664,0.0952552268253983
RFR,test,151_17,308.6153564810816,158056.9495231687,397.5637678702232,0.0819782640027199,0.5398901102047003,314.22150185000146,410.20448386302047,0.1032169074457529
RFR,test,15A_83,250.84082527248017,108659.04994339746,329.6347219929925,0.1023309512950602,0.6410219486283879,251.2049213050143,305.6596970343504,0.1173905343917576
RFR,test,15A_84,291.28693663948195,141236.60988233067,375.81459508956095,0.1018188406210748,0.5797677901229095,288.04106675014793,381.799944582987,0.1262050615740385
RFR,test,15B_60,450.9753358968899,350771.37912893586,592.2595538519711,0.1363891618457484,0.3084651303669339,447.2448853423469,513.5402919416117,0.1407614587244824
RFR,test,15B_61,316.86739654866534,166535.7482529733,408.0879173082356,0.0922554390686576,0.5770543194468916,313.880033669693,431.9640383590837,0.1183845240486397
RFR,test,15D_62,287.30333333333346,143839.14002845532,379.2613083725458,0.080994441780871,0.4019327013359558,317.6204146341464,435.8617886178862,0.1194447301386661
RFR,test,15D_63,458.123090909091,341881.2003109091,584.706080275303,0.1024904869823753,0.3310188262099413,495.14207807807816,596.2727272727273,0.1243530711678749
RFR,test,15_16,633.6154943089833,641325.0927867546,800.827754755512,0.1185938503082341,0.2475602099347278,622.4815670385934,867.431767996467,0.1472585124157955
RFR,test,15_17,517.1841806248678,446463.6865949928,668.1793820487076,0.1024780929174991,0.3259572081767684,512.5828435929125,594.6584298888627,0.1109778065416222
RFR,test,161_50,139.19862068965514,31819.568206896543,178.38040309096888,0.0859589145547744,0.6977239707537872,135.72063157894738,419.3448275862069,0.2330912441155599
RFR,test,161_51,184.68388700564967,55521.61367907251,235.6302478016617,0.1588394723244057,0.6936255392712061,190.98696062592376,549.3898305084746,0.5423123525588168
RFR,test,16C_28,201.43782289994653,74328.50295698238,272.6325419992676,0.1100878587618954,0.5597307883705782,181.6777426957224,345.23595505617976,0.1804114486710701
RFR,test,16C_29,120.88016511693434,22579.68728145784,150.2653894995712,0.0754556901230075,-0.0212155037604024,119.94036475246072,176.63313609467457,0.1054315813715895
RFR,test,16D_30,556.389183492063,458843.0215830343,677.379525512127,0.0996436240850194,-0.0544451341233849,577.776612905579,672.44,0.1091781863919677
RFR,test,16_20,464.6413398281453,348099.6167741238,589.9996752322189,0.0862476141924263,0.5158363758920137,461.6880333531808,511.7853427895981,0.0905191316262868
RFR,test,16_24,458.9130144598747,336105.92513804947,579.7464317596525,0.0837542144673423,0.4750634639285361,456.8874789211967,573.3250753985351,0.0993053632980019
RFR,test,17A_15,390.5742665974485,244225.52405025545,494.1917887321232,0.0875999131441028,0.3328114825138669,372.99299217969815,435.91398577717575,0.0940336275371486
RFR,test,17A_17,387.072012955267,246890.44009411064,496.880710124785,0.0883469057158808,0.2473877614052014,361.34329018451206,437.9723333333333,0.0959491325505574
RFR,test,17_10,313.1902687082525,164112.97323083077,405.1085943680173,0.0827595725129629,0.6600029042356534,321.6249316776975,433.5624434389141,0.110061244938032
RFR,test,17_15,357.7198779447666,216442.2683082657,465.23356317903983,0.0907146743917823,0.6384423143618926,357.9508182542309,475.61006289308176,0.1220405439644508
RFR,test,184_28,244.1639390227376,109953.37974209044,331.59218890391617,0.0803177892125316,0.4270491666053967,240.9736206929095,340.11492032834377,0.1064972586416065
RFR,test,184_29,194.82770824782563,61618.4865154424,248.23071227276128,0.0736439404990471,0.4900149144079621,190.46875740314567,244.2009674582234,0.0890464048283729
RFR,test,185_53,107.5126611570248,18777.20211206612,137.02993144589294,0.0664767581551013,0.0802774677809053,116.19829776674938,157.12561983471073,0.0935580544820495
RFR,test,185_56,96.2140951067217,16002.681505070088,126.5017055421392,0.0857756155577122,0.4487731640579107,96.0856314070998,121.70691333982474,0.1030993823391748
RFR,test,18_3,383.5805158730159,242972.0477014201,492.9219488939604,0.0987927162156019,0.5861090640155056,385.25250512237153,480.3396761133603,0.1178658208433443
RFR,test,18_4,375.7939307912866,240452.11689563165,490.3591713179551,0.0958378394908091,0.6897459519586489,383.5486510194013,467.47635135135135,0.1146468162118552
RFR,test,1_37,268.3015674874166,116530.052482582,341.36498426549554,0.0902595561670862,0.4863857606672135,269.4320694707536,332.5174175568973,0.1069833171773817
RFR,test,1_40,298.3758856714277,150409.74496006264,387.8269523383627,0.0942045812578918,0.4832961417009781,303.82885437620155,357.4413948256468,0.1074743366877063
RFR,test,220_10,327.9938582677165,184576.4657624672,429.6236326861771,0.0701349758010936,0.5515207734275104,337.8417992125984,469.6574803149607,0.0970489057345238
RFR,test,220_12,302.1701620370371,157140.04051944445,396.40893092795534,0.0677632048542315,0.5340865021339616,305.14484027777775,501.681712962963,0.1080097216694588
